"難易度","曲名","譜面種別","レベル","1位でらっくスコア","理論値","理論値比率","DXスター","プレイヤー","達成日時","ランキング更新日時","詳細URL","取得状況"
"MASTER","KHYMΞXΛ","DX","14+","2924","2943","99.3544%","5","ＲｅＭｉＲｉＡ","2023/11/09 10:39","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=497d73b53d1edaa2d9a517af388afc2aace20a4671adcabcfcaa5d520682e541f19747d64a83250f2c69406633182dedcc28ae6574f579de07cfb8934bd1e77fMQf5wE8aXpUFUW4yGb0NKvxZMjmvEfqn8YMJFU9R1hA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","LAMIA","DX","14+","2968","2997","99.0324%","5","ＲｅＭｉＲｉＡ","2024/12/13 18:29","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=4dd3edd7548d00b354b1a352b81e07152851a6fa36ab6f9948f7d591d669231d4cc2af37ffb786ea305b2e7f3922a4d480eba8b0c369e1bc308f85ae095cf939%2FlO%2Bb%2BDjsI%2Bop1PF9qyZJ0IqbbKwI%2BGcZsA52nFXSUo%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","larva","STANDARD","14+","3476","3519","98.7781%","5","ＲｅＭｉＲｉＡ","2025/11/24 20:42","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=83174f8886031a9935b6e139fca476c9ccdb650bff713333d9f61c18823db6d6e7f83767f5eda6505df42871f7064475dbebfc81a40dd320149cbcdd382f7076%2FipxCJD6W3zRPfq%2B5TIU5qLJT45tDg%2FBu4kw%2F050dLE%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Latent Kingdom","DX","14+","4071","4113","98.9788%","5","ＲｅＭｉＲｉＡ","2024/11/16 16:40","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=72ff29ddaa4e4be0fd4a50a5ecdb29d570e6dfac7541d6d4b12f0d9d6fc2b5583e9647e1277b9e785932d933b910395428f7811ef75a4e6766ce863472c69fadlsuFFNXcsSrdjJ8JQs3ZnE7pa0qVE7HWny1vavRjmuY%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Lia=Fail","DX","14+","3006","3048","98.6220%","5","ＲｅＭｉＲｉＡ","2024/06/12 14:58","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=27faf90f93623b4df5fe2c05b3744fca256d5d5a6e64dbb0bf10a64cd9f4dddfd8cedfbeb38a97bad98a17d6aa5c92493c261ac093d18df44ab2f0c7574ea4df58NUMasfCd6aFhfSzMBm%2FJMCx6CpBdZC8YeMdPDSKho%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Metamorphosism","DX","14+","2834","2862","99.0217%","5","ＲｅＭｉＲｉＡ","2025/06/22 18:04","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=0eb590e9bcdaadbb92d7e5a2de938b21f7c6057872782b8c6d7dfae4773c6b588c7080bc81baaa7efa63d74b24c308921f57daf047b915bedfa391419a25be4eZ%2BqLoBZdr1Bj8FIGaXxf%2FHnBtqikBzjpQK697Hq7gJc%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","mystique as iris","DX","14+","3467","3501","99.0288%","5","ＲｅＭｉＲｉＡ","2025/06/23 11:50","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=2dadeac6edc8017e6549a7916b3c8a03c18daed6ba4af8d6f1ef07df5ee3960b51924a3038a8131308017dc9790ce6d9593ffec77a0a840cb4b14a4d53c4a7caJPwCQcX8edHZcXOFHhJyXYe4ohOZQ9dT1hcvSlCTRfM%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Our Wrenally","STANDARD","14+","2972","2997","99.1658%","5","ＲｅＭｉＲｉＡ","2024/06/06 20:16","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=3d26234bb73649f2c1b3f202fe8f799ce85b559c15a71d9e7d277b808eb811f870a7109c202d6ac546eb69238c5a884df785eea7adfb8ab849289aa23fae2968zCP1a3OurWpK6a%2FyQ4K5hvZmkA8ZZNSI8EDyLaO46e0%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","PANDORA PARADOXXX","STANDARD","14+","3871","3927","98.5740%","5","ＲｅＭｉＲｉＡ","2024/10/18 15:46","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=76092867d4a785fc00d2d44d6a42b02479674eefa789268c9abfdc09852344a4466887d85bc0568a9a2e85d7c3f70895c724dcf7e3391d3928a5d34862a15c59H4cc422oR1fZWFFMR29M6UwAH0mFmTlioyv3J0zgrwY%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Prophesy One","STANDARD","14+","3157","3204","98.5331%","5","ＮＯＮ＊ＲＪ","2026/06/02 21:11","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=211593b5a11b01f1efec9e3406ae43f48606256f232aba54da3b86f960b23e78e750ef6e0d9cf55a25fdc35cba0dd0b5dfe89651ab2ab99bbc40a904a0130bcdjgLDtKm59BLDfJowKDM2EOGtjjZuwN%2FwKX8GWz0NODY%3D&scoreType=1&rankingType=99&diff=3",""
